"hotel_id","author","location","rating","date","date_visited","title","text","trip_type","helpful","photos","language","contributions","avatar"
"10150697","Wayne M","Liverpool, United Kingdom","1","2026-07-24","2026-07-31","Avoid annexe rooms!!","The hotel needs to be more honest about the condition and environment of rooms in the annexe building. It’s a building site, habitable rooms only on floor 5, and they are of a basic standard with works incomplete in the rooms. Floors 0-4 are a building site, we had to navigate pallets of building materials to access and egress the building, stairs were blocked due to scaffolding, with an antiquated lift holding only 2 persons service the habitable floor. If the lift breaks down you’re knackered, how they get a certificate to confirm the building is safe and meets the standards is beyond me. If you intend booking this hotel establish beyond doubt if you’re in main hotel or annexe, if the annexe, I would encourage you to find elsewhere as it is a pretty poor offer at present.","Traveled as a couple","51","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/f4/72/2f/caption.jpg"", ""caption"": ""Building operatives helping us navigate bags around the building materials that block the corridor. Actually laughable! "", ""photo_id"": ""871658031""}]","en","48","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg"
"10150697","Lynsey C","","5","2026-07-18","2026-07-31","Fantastic hotel, great location!","Don't be alarmed by the negative reviews on here. We have just returned from a 3 night stay (July 2026) and the hotel was perfect. Location could not be better. Both Aircon and WiFi were really strong. The hotel staff were great, we forgot our travel adaptors and they provided us with 2, we also required an iron and strong hairdryer and both were brought to our room in minutes.
Our room was lovely, no sign of wear and tear, nice and modern, comfortable bed and we even had a small balcony and great views from the 5th floor 
The rooftop bar is a nice touch but the jacuzzi did look like it needed cleaning but we weren't really interested in this feature.
The breakfast was average, like any European hotel, it was sufficient for what you needed.
Overall we were extremely pleased with the hotel and if we went back to Rome we would almost certainly stay here again, location and value for money were fantastic.","Traveled as a couple","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg"
"10150697","Paris S","","1","2026-07-13","2026-07-31","DO NOT GO! WARNING! STAY AWAY!!!","DO NOT BOOK HERE IF STAYING IN ANNEX !

Nowhere on the love holidays website does it state that the annex is under construction/ every floor derelict construction site . The room mouldy- exposed wires- walls with holes fillered and un painted- floor dusty and dirty where construction workers have come through. Complained to main hotel which is 100M walk away from main hotel - rude- smirk on his face and didn’t care- told us the main hotel was fully booked. No refund allowed- had to book alternative accommodation- when we returned to the hotel the following day after being advised that manager would be able to issue a refund he tells us he can’t do it either … but a room became available at 3AM in the morning- when we went to look at the room we were offered we asked the porter - when was this available he said “it has been available since yesterday” so we told the manager this he said “he’s just a porter he doesn’t know what he’s talking about” but the room had been cleaned at 7AM? (The cleaners don’t start until 8AM) as I asked. On the afternoon of our final day we asked the 3rd different manager “when did this room 404 become available “ he said “14:30 today” we looked confused because our room  was given to us at 9AM that morning and was told it was available at 3AM , everyone lies- don’t care- don’t help- and clearly don’t like tourists. Genuinely the WORST hotel experience we’ve ever had. Do not go here booking.com somewhere else.","Traveled as a couple","9","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/d7/bb/7f/caption.jpg"", ""caption"": """", ""photo_id"": ""869776255""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/d7/bb/80/caption.jpg"", ""caption"": """", ""photo_id"": ""869776256""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/d7/bb/81/caption.jpg"", ""caption"": """", ""photo_id"": ""869776257""}]","en","13","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/d7/be/30/caption.jpg"
"10150697","Shannon","","1","2026-07-10","2026-07-31","Worst Experience!","Without a doubt, this was the worst hotel experience I’ve ever had.

The biggest issue was the room itself. The air conditioning unit was leaking continuously onto the floor throughout our stay. It wasn’t just a few drops—it leaked enough that we had to keep towels on the floor to soak up the water to avoid slipping. This is completely unacceptable for any hotel, let alone one that claims to be a 4-star property.

The room also felt poorly maintained, with visible damage and unfinished repairs. There were holes in the wallpaper where fixtures had clearly been removed, and the overall condition of the room was tired and neglected. The ceiling light fitting was also incomplete, exposing what looked like part of the fixture rather than a properly finished installation.

For the price we paid, I expected a clean, well-maintained room and basic amenities to function properly. Instead, we spent our stay dealing with a leaking air conditioner and a room that felt like it had been patched together rather than properly maintained.

When first checked into hotel too, receptionist went through everything as usual when checking in, also said that we had breakfast included in the stay, so we came down to breakfast the next day and then got told we didn’t have breakfast included, after we basically sat down with our food. When speaking to the manager again he denied saying this. I would have not have gone down to buffet breakfast if he said we didn’t have breakfast included.

The cleaners also cleaned out room every day but one of the days they left our room open all day! we came back and tried to use our key card to find it was already open! anyone could have gone in our room and stolen anything. 

I would not stay here again and would not recommend Hotel 87 to anyone looking for a comfortable stay in Rome. There are far better options available.","Traveled as a couple","","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/v2/photo-o/33/d0/51/63/image.jpg"", ""caption"": """", ""photo_id"": ""869290339""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/v2/photo-o/33/d0/51/64/image.jpg"", ""caption"": """", ""photo_id"": ""869290340""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/v2/photo-o/33/d0/51/65/image.jpg"", ""caption"": """", ""photo_id"": ""869290341""}]","en","11","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg"
"10150697","Jose V","","1","2026-07-08","2026-07-31","DO NOT STAY IF THEY PLACE YOU IN THE ANNEX","DO NOT STAY IF THEY PLACE YOU IN THE ANNEX.....Hotel 87 eighty-seven - Maison d'Art Collection is a 4 star, we paid premium prices and were placed in thier annex on the 5th floor, the rest of the building was under construction, the entry way was dusty the walls were marked up, the elevator was full of dust on top and inside. The rooms walls were painted with 2 different paints that didn't matched and looked spotty, the closet light would not turn off and shined all night I had to put a towel to block the light. At 7 in the morning construction workers started to hammer, grind tiles, and throw concrete bags on the floor, that could be heard throughout the building, for 2 days we had to walk down the 5 flights because the were using the elevater to move stuff up and down in the building. I tried 3 times to speak to the manager Fransico and he blow me off till 5 minutes before he went home I explained the issue and he said he spoke to the construction manager and that they would have thier workers would start at 9 am instead of 7 am, he also said to speak to you that he was not going to compensate me for any inconvenience with a I don't care attitude. The next morning construction started again at 7 am, so he basically lied to my face because he knew we were leaving the next morning. That stay was a 1.5 star, I am very disappointed in the experience we had.","Traveled with family","","","en","2","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg"
"10198865","Paul Q","Oxfordshire, United Kingdom","4","2026-08-24","2026-08-31","Beautiful building, friendly staff, and a relaxing weeks stay!","Found this hotel for our weeks stay in Rome and happy that we did. 

Arrived before the 3pm check-in time and our room was ready, so we could get freshened up after a day of travelling. We got the train from Fiumicino to Termini, and the hotel was a short 10 minute walk from the station. Tons of cafes, restaurants, gelatarias etc all within a short walking distance of the hotel. Most major sights were about a 30 minute walk away from us here including Trevi Fountain, Colloseum, Roman Forum, Pantheon etc. 

The room was ample in size, with a large blackout glass bathroom, equipped with shower, toilet, bidet, sink & amenties. Beds were comfy enough, no duvets provided, just a sheet and a blanket which is more than enough in the summer heat. The room is fully air conditioned, all controlled by the dial on the wall, as our all the lights in the room. We would have loved an extra pillow each, but it is a small preference. There is a mini bar in the room, all items individually priced on the card inside. Room was refreshed daily, and the only negative on this was although there is a sign in the bathroom stating the company try being environmentally friendly and don't wash towels everyday unless left on the sink, they would still wash them even when they weren't place on the sink. We had a small issue with our sink, but maintenance were in quickly to resolve it and did so very quickly and politely. 

Staff were friendly throughout our stay, always happy to help answer questions, and the service at breakfast was efficient and tables turned and cleaned quickly enough when it got busier. 

The pool was a great highlight! After or before busy days out in the scorching heat, it was great to get into the pool and refresh and cool down. There is a lovely upper terrace outside with cuddle sofas, and more sunloungers, so plenty of space to chill or suntan. Towels are available at reception, so just ask before you head out. Beds by the poolside fill up fast, but if you are fortunate you can grab one. I would have liked to have seen staff keeping an eye on the pool, as signs up to state no diving etc, but there were children constantly running, diving, wrestling on the pool edge, and being a little dangerous around other people, but nobody was there monitoring it. 

The food was good too. We ate at varying times of day, as breakfast was included. Breakfast had a good amount of options, and was good enough to set us up for the busy days we had planned. 

One added feature was the lobby. It was a beautiful setting to relax after a busy day, with a quiet drink, and some lovely piano playing every night. Was so comfortable, and honestly was such a nice way to end our days. 

Definitely recommend this hotel to anyone happy to stay a little further away from the sights. We would love to return to this beautiful hotel one day!! Thanks to all the team for a comfortable stay","Traveled with family","","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/50/05/58/caption.jpg"", ""caption"": """", ""photo_id"": ""877659480""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/50/05/59/caption.jpg"", ""caption"": """", ""photo_id"": ""877659481""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/50/05/5a/caption.jpg"", ""caption"": """", ""photo_id"": ""877659482""}]","en","58","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/4f/f7/b1/caption.jpg"
"10198865","Juan Carlos M","Italy","1","2026-08-22","2026-08-31","The Building Hotel in Rome was extremely disappointing","A room in a state totally unworthy of what we expected

Our experience at The Building Hotel in Rome was extremely disappointing, mainly due to the state of cleanliness and maintenance of our room.

As soon as we settled in, we noticed numerous problems, which we took care to photograph.

The carpet was covered with numerous stains and dark marks. The wall coverings were also very stained, with large water marks, various traces, and even a torn section revealing the material behind it.

The bathroom was in an equally concerning state: shower drain heavily clogged and deteriorated, deposits around the metal elements, dirty and degraded shower seals and rails, damaged finishes, as well as very marked and worn faucets.

Even more concerning, we found and photographed a small arthropod on the bedroom carpet. We also discovered an item of undetermined origin stuck directly into a seam of the mattress. We do not claim to identify these items with certainty, but their presence, added to the general state of the room, seriously worried us regarding the level of hygiene and cleaning.

It is therefore not, in our opinion, a simple aesthetic defect or a few normal signs of wear. It is the accumulation of problems—heavily stained carpet, dirty and damaged walls, dirty and deteriorated bathroom, as well as the discovery of an arthropod in the room—that made this experience particularly unpleasant.

The photos attached to this review show the state in which we found the room and will allow everyone to form their own opinion.

For an establishment of this category, we expected a very different level of cleanliness, maintenance, and comfort.

An unfortunately very disappointing experience that we do not wish to repeat.","Traveled as a couple","","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/48/cb/b4/caption.jpg"", ""caption"": """", ""photo_id"": ""877185972""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/48/cb/b5/caption.jpg"", ""caption"": """", ""photo_id"": ""877185973""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/48/cb/b6/caption.jpg"", ""caption"": """", ""photo_id"": ""877185974""}]","en","11","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg"
"10198865","Gazza1267","Hampshire, United Kingdom","4","2026-08-20","2026-08-31","It was a ideal location. Close to metroand other transport","Just returned this week. Had a great stay here. Good location to train station but used the metro to see the historical sites. Pool was adequate for a cool dip for its size. I found staff ok with me and helpful. Rooms adequate for our stay. Order another pillow due to only one each. Room cleaned daily with new towels. Air con was adjustable using the panel. 
Close to local restaurants. Buses are packed and over crowded use metro 10 min walk. Breakfast was OK. Can order a special coffee at breakfast.
Had lunch here and felt it was good value. Additional cost for the Spa at e25  for two hours not used.Hotel tax extra cost. A great terrace with sunbeds to relax. Nothing really to moan about as it did what we wanted","Traveled with friends","2","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/44/5b/1c/caption.jpg"", ""caption"": """", ""photo_id"": ""876895004""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/44/5b/1d/caption.jpg"", ""caption"": """", ""photo_id"": ""876895005""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/44/5b/1e/caption.jpg"", ""caption"": """", ""photo_id"": ""876895006""}]","en","78","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg"
"10198865","Mark E","","4","2026-08-20","2026-08-31","Not a bad choice at all","I thought the Building Hotel was good overall. Staff were polite and accommodating. We had issues with the air con, so we had a mobile unit for 1 night delivered promptly, and moved rooms the next day. Breakfast was okay overall and had a good range of food availible.
Short walk to the Metro and in a nice, quiet location with a local shop and restaurants 1-2 minutes away. 
Overall, I would stay again.","Traveled with family","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg"
"10198865","Meander39089686170","","2","2026-08-17","2026-08-31","AVOID AT ALL COSTS!","The palace is impressive, certainly, but for a week at 1300 euros, pathetic services! Neglected cleaning, for a 4-star hotel, sink and shower not cleaned, toiletries (shower gel, body lotion and soaps, toilet paper, etc.) not restocked (not to mention the bouquet of flowers as announced in the listing), bedding changed once in a week instead of daily and even then, one sheet out of two without pillowcases, the terrace with garden furniture cushions without covers, the breakfast could not be more basic with an undrinkable Americano coffee served in a thermos (knowing that at the reception, we were told that we could ask for a cappuccino, espresso and others included in the price but no one is aware, you just have to ask the question). And the staff is haughty. On the last day, at 5 a.m., I was asked for 45 euros in taxes even though I had paid 105 euros for them upon my arrival; fortunately I had kept the proof, otherwise I would have missed my flight. And since I was leaving early and had paid for my breakfast, I asked for a breakfast to go; they provided it, but I threw it all away, as it had spent the night outside. Anyway! A total scam! A sucker trap! Fortunately, Rome is full of treasures (the Basilica of Saint Mary Major, the beach, the Basilica of Saint Paul, the Colosseum, etc.).","Traveled with friends","","","en","7","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg"
"10275665","Joan C","","5","2026-04-28","2026-04-30","Wonderful stay in Le Marais!","My husband and I love the Le Marais neighborhood and Assia & Nathalie were the very best! So welcoming, so warm and helpful and the room was wonderful! The location was perfect for us as we went all over the city.  The accommodations were excellent and the breakfasts were delightful!","Traveled solo","1","","en","7","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg"
"10275665","Suzanne D","New York","5","2026-04-21","2026-04-30","A Perfect Stay in Paris with Exceptional Hosts","We just returned from an amazing trip to Paris and couldn’t have asked for a better stay. We were guests at a lovely bed and breakfast hosted by Assia and Natalie, who truly made our experience exceptional. From the moment we arrived, we felt warmly welcomed and completely at home. Everything we needed was thoughtfully provided, the breakfast each morning was wonderful, and the room was spacious, spotless, and very comfortable. We highly recommend staying here!","Traveled as a couple","","","en","2","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ef/f9/0a/suzanne-d.jpg"
"10275665","Travel4aWalk","","5","2026-04-19","2026-02-28","4th time staying, it's the best!","This was my 4th time staying at Assia et Nathalie's and again, it was perfect.  For me I am no longer just staying at a luxury B&B, I am also staying with friends.  The warm welcome, the conversations, the comfortable and safe space to stay, and the fantastic breakfasts...amazing!  I truly cannot say enough good things about staying at Assia et Nathalie's.  I wholeheartedly recommend staying here, I know I will be back.","Traveled solo","7","","en","24","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9a/c0/b3/travel4awalk.jpg"
"10275665","lapetitefemme80","Irvine, California","5","2026-01-21","2025-06-30","Well-housed, Well-nourished, Well-guided","We searched high and low on Trip Advisor for a clean and comfy B&B in a safe and quiet neighborhood for our 5-night stay. Assia et Nathalie near Place des Vosges in Le Marais ticked all the boxes. We truly appreciated the preserved charm of the gated historic residential building with modern conveniences like an elevator, updated plumbing, and motorized window shutters. 

Since our time in the City of Light was abbreviated, we packed our itinerary. It was important to start our day well-fueled. Every morning, we enjoyed a delicious and filling breakfast, consuming freshly baked goods, a variety of tasty meats and cheeses, and an assortment of succulent fruit. Every night, we returned to the guesthouse 21:00-22:00, washed the day off in our well-appointed bathroom stocked with posh toiletries and plush towels. We slept like babies in the cloud-like, yet supportive bed. A perfect setting for much needed restorative sleep after sightseeing all day.

From the moment we stepped into the B&B, we felt at home not just because of the beautiful décor & design, and attention to detail, but also because of the genuine care and hospitality of Assia and Nathalie. They are kind and generous. Assia answered every email inquiry promptly. She informed us of the flat rate taxi fare to and from CDG; gave us accurate directions and suggestions on the quickest and most economical way to our destinations (by bus, by subway, by train); loaned us multiple local maps and museum guides; offered to make restaurant reservations… personalized assistance right there! 

We loved our time in Paris, taking in all the sights and sounds and calling Assia et Nathalie our temporary home as we were well-housed, well-nourished, and well-guided.","Traveled as a couple","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/41/76/18/lapetitefemme80.jpg"
"10275665","bob","New York","5","2025-11-23","2025-11-30","Haven of peace in the center of Marais","Fabulous welcome, good advice, nice quiet room in a haven of peace in the middle of the Marais district. Good bedding and beautiful bathroom. 10 out of 10.","Traveled as a couple","15","","en","65",""
"10410272","Nos gusta viaja... V","","4","2026-08-24","2026-08-31","I recommend it","Very good hotel near the bridge, friendly, everything clean and a big bed, we recommend it","Traveled with family","","","en","20","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg"
"10410272","Trinh D","Hanoi, Vietnam","4","2026-08-19","2026-08-31","Recommended","Great location. Helpful, friendly staff. 
Great view if you stay at the Tower view room - definitely choose this room if you stay here. I spent 5 days waking up with the tower on my left, amazing view!
One thing to note - I would like the room to be cleaned more thoroughly. At the end of each day when I enter the room, I notice a lot of fine dust on the TV, table and the shelving unit.","Traveled solo","","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/34/40/e5/73/caption.jpg"", ""caption"": """", ""photo_id"": ""876668275""}]","en","6","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg"
"10410272","Annika R","","5","2026-08-12","2026-08-31","Fantastic, I will return","Excellent, kind, and super helpful staff","Traveled as a couple","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg"
"10410272","Vincenzo maria D","Salerno, Italy","5","2026-08-08","2026-07-31","Top experience","Hotel located in an excellent position (near the Tower Hill underground station), this alone would be enough to make it excellent, let's add that the king superior rooms by London standards are truly very spacious and offer a spectacular view without even having to pay an extra charge. 
Very easygoing staff, there are also some Italians present who can help in case you don't know the language well. 
The surrounding area is also very quiet and patrolled, you are close to the Shard and Tower Bridge which are 2 fundamental points to visit in London.
For our 6-day and 5-night vacation it was perfect and above all not too expensive, I highly recommend it.","Traveled as a couple","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg"
